2026-07-14T17:03:20.531+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000052", "method": "GET", "path": "/api/v1/daily-attendance/report", "status": 200, "duration": "4.1226ms"}
2026-07-14T17:03:24.535+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000053", "method": "GET", "path": "/iclock/getrequest", "status": 200, "duration": "10.7511ms"}
2026-07-14T17:03:31.355+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000054", "method": "POST", "path": "/iclock/cdata", "status": 200, "duration": "29.1833ms"}
2026-07-14T17:03:31.380+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000055", "method": "GET", "path": "/api/v1/attendance-logs", "status": 200, "duration": "5.483ms"}
2026-07-14T17:03:31.420+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000056", "method": "GET", "path": "/api/v1/employees", "status": 200, "duration": "6.1012ms"}
2026-07-14T17:03:31.428+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000057", "method": "GET", "path": "/api/v1/devices", "status": 200, "duration": "13.8254ms"}
2026-07-14T17:03:31.437+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000059", "method": "GET", "path": "/api/v1/attendance-logs", "status": 200, "duration": "9.5687ms"}
2026-07-14T17:03:31.457+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000060", "method": "GET", "path": "/api/v1/daily-attendance/report", "status": 200, "duration": "3.8144ms"}
2026-07-14T17:03:31.506+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000063", "method": "GET", "path": "/api/v1/audit-logs", "status": 200, "duration": "2.098ms"}
2026-07-14T17:03:31.508+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000062", "method": "GET", "path": "/api/v1/shifts", "status": 200, "duration": "6.2164ms"}
